NM_UE,SQ_CANDIDATO,DS_TIPO_BEM_CANDIDATO,VR_BEM_CANDIDATO
VITÓRIA DA CONQUISTA,50000701798,Casa,140000.0
VITÓRIA DA CONQUISTA,50000701799,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",18500.0
VITÓRIA DA CONQUISTA,50000701799,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",6500.0
VITÓRIA DA CONQUISTA,50000701799,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",5500.0
VITÓRIA DA CONQUISTA,50000701802,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",7000.0
VITÓRIA DA CONQUISTA,50000701806,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701806,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701809,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12000.0
VITÓRIA DA CONQUISTA,50000701809,Casa,300000.0
VITÓRIA DA CONQUISTA,50000701810,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",22000.0
VITÓRIA DA CONQUISTA,50000701812,Casa,120000.0
VITÓRIA DA CONQUISTA,50000701813,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",33000.0
VITÓRIA DA CONQUISTA,50000701814,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",18000.0
VITÓRIA DA CONQUISTA,50000701814,Terreno,65700.0
VITÓRIA DA CONQUISTA,50000701814,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701815,Terreno,15000.0
VITÓRIA DA CONQUISTA,50000701818,Casa,80000.0
VITÓRIA DA CONQUISTA,50000701819,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",15000.0
VITÓRIA DA CONQUISTA,50000701819,Casa,100000.0
VITÓRIA DA CONQUISTA,50000701821,Terreno,18000.0
VITÓRIA DA CONQUISTA,50000701821,Dinheiro em espécie - moeda nacional,148000.0
VITÓRIA DA CONQUISTA,50000701821,Terreno,477.6
VITÓRIA DA CONQUISTA,50000701821,Terreno,24614.8
VITÓRIA DA CONQUISTA,50000701821,Terreno,14000.0
VITÓRIA DA CONQUISTA,50000701821,Terreno,20000.0
VITÓRIA DA CONQUISTA,50000701821,Terreno,14000.0
VITÓRIA DA CONQUISTA,50000701821,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",10000.0
VITÓRIA DA CONQUISTA,50000701821,Casa,15274.0
VITÓRIA DA CONQUISTA,50000701821,Apartamento,130158.32
VITÓRIA DA CONQUISTA,50000701821,Casa,19718.57
VITÓRIA DA CONQUISTA,50000701822,Casa,160000.0
VITÓRIA DA CONQUISTA,50000701822,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",18000.0
VITÓRIA DA CONQUISTA,50000701823,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",7500.0
VITÓRIA DA CONQUISTA,50000701824,Casa,500000.0
VITÓRIA DA CONQUISTA,50000701824,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",25000.0
VITÓRIA DA CONQUISTA,50000701826,Apartamento,860000.0
VITÓRIA DA CONQUISTA,50000701827,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",30000.0
VITÓRIA DA CONQUISTA,50000701829,Casa,25000.0
VITÓRIA DA CONQUISTA,50000701521,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",5000.0
VITÓRIA DA CONQUISTA,50000701525,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12000.0
VITÓRIA DA CONQUISTA,50000701525,OUTROS BENS E DIREITOS,40000.0
VITÓRIA DA CONQUISTA,50000701532,Terreno,30000.0
VITÓRIA DA CONQUISTA,50000701541,Casa,120000.0
VITÓRIA DA CONQUISTA,50000701816,Casa,100000.0
VITÓRIA DA CONQUISTA,50000925546,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",248000.0
VITÓRIA DA CONQUISTA,50000925546,Quotas ou quinhões de capital,100180.0
VITÓRIA DA CONQUISTA,50000925546,Quotas ou quinhões de capital,100000.0
VITÓRIA DA CONQUISTA,50000925546,Quotas ou quinhões de capital,1455.26
VITÓRIA DA CONQUISTA,50000925546,Depósito bancário em conta corrente no País,39.49
VITÓRIA DA CONQUISTA,50000925546,Depósito bancário em conta corrente no País,1234.77
VITÓRIA DA CONQUISTA,50000925546,Dinheiro em espécie - moeda nacional,30000.0
VITÓRIA DA CONQUISTA,50000925546,OUTROS BENS E DIREITOS,130394.92
VITÓRIA DA CONQUISTA,50000925547,Caderneta de poupança,142.7
VITÓRIA DA CONQUISTA,50000925547,Terreno,93277.41
VITÓRIA DA CONQUISTA,50000925547,Caderneta de poupança,130.88
VITÓRIA DA CONQUISTA,50000925547,Caderneta de poupança,4804.95
VITÓRIA DA CONQUISTA,50000925547,Depósito bancário em conta corrente no País,10305.16
VITÓRIA DA CONQUISTA,50000925547,Dinheiro em espécie - moeda nacional,45000.0
VITÓRIA DA CONQUISTA,50000925546,Terreno,44000.0
VITÓRIA DA CONQUISTA,50000925546,Terreno,10000.0
VITÓRIA DA CONQUISTA,50000925546,OUTROS BENS E DIREITOS,1804.71
VITÓRIA DA CONQUISTA,50000928775,Dinheiro em espécie - moeda nacional,5000.0
VITÓRIA DA CONQUISTA,50000928775,Depósito bancário em conta corrente no País,25000.0
VITÓRIA DA CONQUISTA,50000928775,Apartamento,200000.0
VITÓRIA DA CONQUISTA,50000928775,Apartamento,160000.0
VITÓRIA DA CONQUISTA,50000928775,Apartamento,150000.0
VITÓRIA DA CONQUISTA,50000928775,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",17000.0
VITÓRIA DA CONQUISTA,50000928775,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",45000.0
VITÓRIA DA CONQUISTA,50000928775,Casa,600000.0
VITÓRIA DA CONQUISTA,50000928775,Apartamento,300000.0
VITÓRIA DA CONQUISTA,50000928775,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",70000.0
VITÓRIA DA CONQUISTA,50000928775,Outros bens imóveis,24000.0
VITÓRIA DA CONQUISTA,50000928775,Terreno,90000.0
VITÓRIA DA CONQUISTA,50000928776,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",80000.0
VITÓRIA DA CONQUISTA,50000928776,Outras participações societárias,3800.0
VITÓRIA DA CONQUISTA,50000928776,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",40000.0
VITÓRIA DA CONQUISTA,50000928776,Depósito bancário em conta corrente no País,50000.0
VITÓRIA DA CONQUISTA,50000928776,Casa,150000.0
VITÓRIA DA CONQUISTA,50000928776,Casa,200000.0
VITÓRIA DA CONQUISTA,50000928776,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",50000.0
VITÓRIA DA CONQUISTA,50000928776,Terreno,50000.0
VITÓRIA DA CONQUISTA,50000928776,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",70000.0
VITÓRIA DA CONQUISTA,50000928776,Dinheiro em espécie - moeda nacional,5000.0
VITÓRIA DA CONQUISTA,50000928776,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",30000.0
VITÓRIA DA CONQUISTA,50000936723,Casa,200000.0
VITÓRIA DA CONQUISTA,50000936723,Casa,250000.0
VITÓRIA DA CONQUISTA,50000936723,Terreno,70000.0
VITÓRIA DA CONQUISTA,50000936723,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",65000.0
VITÓRIA DA CONQUISTA,50000936723,OUTROS BENS E DIREITOS,120000.0
VITÓRIA DA CONQUISTA,50000937865,Apartamento,600000.0
VITÓRIA DA CONQUISTA,50000937865,Terra nua,75000.0
VITÓRIA DA CONQUISTA,50000937865,Dinheiro em espécie - moeda nacional,20000.0
VITÓRIA DA CONQUISTA,50000937865,Terreno,150000.0
VITÓRIA DA CONQUISTA,50000937866,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",4000.0
VITÓRIA DA CONQUISTA,50000937866,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",18000.0
VITÓRIA DA CONQUISTA,50000937867,Casa,170133.28
VITÓRIA DA CONQUISTA,50000937868,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",3500.0
VITÓRIA DA CONQUISTA,50000937868,Terreno,21000.0
VITÓRIA DA CONQUISTA,50000937868,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",21000.0
VITÓRIA DA CONQUISTA,50000937868,Casa,130000.0
VITÓRIA DA CONQUISTA,50000937870,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",2000.0
VITÓRIA DA CONQUISTA,50000937872,Outros bens imóveis,40000.0
VITÓRIA DA CONQUISTA,50000937872,Terreno,11000.0
VITÓRIA DA CONQUISTA,50000937872,Depósito bancário em conta corrente no País,2000.0
VITÓRIA DA CONQUISTA,50000937875,Outras participações societárias,59400.0
VITÓRIA DA CONQUISTA,50000937875,Outras participações societárias,18000.0
VITÓRIA DA CONQUISTA,50000937876,Casa,120000.0
VITÓRIA DA CONQUISTA,50000937876,"Aplicação de renda fixa (CDB, RDB e outros)",4006.85
VITÓRIA DA CONQUISTA,50000937876,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",37000.0
VITÓRIA DA CONQUISTA,50000937877,Casa,90000.0
VITÓRIA DA CONQUISTA,50000937877,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",75000.0
VITÓRIA DA CONQUISTA,50000937878,Terreno,50000.0
VITÓRIA DA CONQUISTA,50000937879,Casa,78000.0
VITÓRIA DA CONQUISTA,50000937879,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",67000.0
VITÓRIA DA CONQUISTA,50000937879,Caderneta de poupança,20022.51
VITÓRIA DA CONQUISTA,50000937881,Apartamento,550000.0
VITÓRIA DA CONQUISTA,50000937881,Apartamento,500000.0
VITÓRIA DA CONQUISTA,50000937883,Outros bens imóveis,50000.0
VITÓRIA DA CONQUISTA,50000937883,Casa,30000.0
VITÓRIA DA CONQUISTA,50000937885,Casa,90000.0
VITÓRIA DA CONQUISTA,50000937885,Casa,100000.0
VITÓRIA DA CONQUISTA,50000937886,Casa,30000.0
VITÓRIA DA CONQUISTA,50000937886,OUTROS BENS E DIREITOS,5000.0
VITÓRIA DA CONQUISTA,50000937880,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",50000.0
VITÓRIA DA CONQUISTA,50000962950,Casa,90000.0
VITÓRIA DA CONQUISTA,50000962950,Bem relacionado com o exercício da atividade autônoma,111000.0
VITÓRIA DA CONQUISTA,50000962951,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",12800.0
VITÓRIA DA CONQUISTA,50000962952,Casa,250000.0
VITÓRIA DA CONQUISTA,50000962952,Apartamento,150000.0
VITÓRIA DA CONQUISTA,50000962952,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",25000.0
VITÓRIA DA CONQUISTA,50000962953,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",15000.0
VITÓRIA DA CONQUISTA,50000962955,Casa,70000.0
VITÓRIA DA CONQUISTA,50000962957,Casa,50000.0
VITÓRIA DA CONQUISTA,50000962958,Casa,90000.0
VITÓRIA DA CONQUISTA,50000962960,Casa,80000.0
VITÓRIA DA CONQUISTA,50000962960,Terreno,10000.0
VITÓRIA DA CONQUISTA,50000962961,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",8000.0
VITÓRIA DA CONQUISTA,50000962961,Terreno,30000.0
VITÓRIA DA CONQUISTA,50000962962,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",10000.0
VITÓRIA DA CONQUISTA,50000962963,Apartamento,250000.0
VITÓRIA DA CONQUISTA,50000962963,Casa,150000.0
VITÓRIA DA CONQUISTA,50000962963,Terreno,100000.0
VITÓRIA DA CONQUISTA,50000962963,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",45000.0
VITÓRIA DA CONQUISTA,50000962967,Terreno,160000.0
VITÓRIA DA CONQUISTA,50000962967,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",38000.0
